Régions viticoles;Subdivisions;Appellations;Type de vins produit;Type de vins produit;Type de vins produit;Type de vins produit;Teneur en sucre
Bourgogne;côte de Nuits;clos-de-la-roche;Rouge;;;;
Bourgogne;côte de Nuits;clos-de-tart;Rouge;;;;
Bourgogne;côte de Nuits;clos-de-vougeot ou clos-vougeot;Rouge;;;;
Bourgogne;côte de Nuits;clos-des-lambrays;Rouge;;;;
Bourgogne;côte de Nuits;clos-saint-denis;Rouge;;;;
Bourgogne;côte de Nuits;côte-de-nuits-villages;Rouge;Blanc;;;
Bourgogne;côte de Nuits;échezeaux;Rouge;;;;
Bourgogne;côte de Nuits;fixin;Rouge;Blanc;;;
Bourgogne;côte de Nuits;gevrey-chambertin;Rouge;;;;
Bourgogne;côte de Nuits;grands-échezeaux;Rouge;;;;
Bourgogne;côte de Nuits;griotte-chambertin;Rouge;;;;
Bourgogne;côte de Nuits;la-grande-rue;Rouge;;;;
Bourgogne;côte de Nuits;la-romanée;Rouge;;;;
Bourgogne;côte de Nuits;la-tâche;Rouge;;;;
Bourgogne;côte de Nuits;latricières-chambertin;Rouge;;;;
Bourgogne;côte de Nuits;marsannay;Rouge;Blanc;Rosé;;
Bourgogne;côte de Nuits;mazis-chambertin;Rouge;;;;
Bourgogne;côte de Nuits;mazoyères-chambertin;Rouge;;;;
Bourgogne;côte de Nuits;morey-saint-denis;Rouge;Blanc;;;
Bourgogne;côte de Nuits;musigny;Rouge;Blanc;;;
Bourgogne;côte de Nuits;nuits-saint-georges;Rouge;Blanc;;;
Bourgogne;côte de Nuits;richebourg;Rouge;;;;
Bourgogne;côte de Nuits;romanée-conti;Rouge;;;;
Bourgogne;côte de Nuits;romanée-saint-vivant;Rouge;;;;
Bourgogne;côte de Nuits;ruchottes-chambertin;Rouge;;;;
Bourgogne;côte de Nuits;vosne-romanée;Rouge;;;;
Bourgogne;côte de Nuits;vougeot;Rouge;Blanc;;;
Bourgogne;Mâconnais;mâcon;Rouge;Blanc;Rosé;;
Bourgogne;Mâconnais;pouilly-fuissé;;Blanc;;;
Bourgogne;Mâconnais;pouilly-loché;;Blanc;;;
Bourgogne;Mâconnais;pouilly-vinzelles;;Blanc;;;
Bourgogne;Mâconnais;saint-véran;;Blanc;;;
Bourgogne;Mâconnais;viré-clessé;;Blanc;;;
Bourgogne;;bourgogne;Rouge;Blanc;Rosé;;
Bourgogne;;bourgogne aligoté;;Blanc;;;
Bourgogne;;bourgogne mousseux;Rouge;;;;
Bourgogne;;bourgogne passe-tout-grains;Rouge;;Rosé;;
Bourgogne;;coteaux-bourguignons;Rouge;Blanc;Rosé;;
Bourgogne;;coteaux-du-lyonnais;Rouge;Blanc;Rosé;;
Bourgogne;;crémant de Bourgogne;;Blanc;Rosé;;
Bugey;;bugey;;Blanc;Rosé;;
Bugey;;roussette du Bugey;;Blanc;;;
Champagne;Côte des Bars;rosé des Riceys;;;Rosé;;
Champagne;Côte des Blancs, Côte des Bar, Montagne de Reims,Vallée de la Marne;coteaux-champenois;Rouge;Blanc;Rosé;;
Champagne;;champagne;;Blanc;Rosé;;
Corse;;ajaccio;Rouge;Blanc;Rosé;;
Corse;;corse ou vin de Corse;Rouge;Blanc;Rosé;;
Corse;;muscat du Cap-Corse;;Blanc;;;Doux naturel
Corse;;patrimonio;Rouge;Blanc;;;
Jura;;arbois;Rouge;Blanc;;Jaune, de paille;
Jura;;château-chalon;;;;Jaune;
Jura;;côtes-du-jura;Rouge;Blanc;Rosé;Jaune, de paille;
Jura;;crémant du Jura;;Blanc;;;
Jura;;l'étoile;;Blanc;;Jaune, de paille;
Languedoc;coteaux de l'Aude;cabardès;Rouge;;Rosé;;
Languedoc;coteaux de l'Aude;corbières;Rouge;Blanc;Rosé;;
Languedoc;coteaux de l'Aude;limoux;Rouge;Blanc;;;
Languedoc;coteaux de l'Aude;minervois;Rouge;Blanc;Rosé;;
Languedoc;coteaux de l'Aude (Corbières);corbières-boutenac;Rouge;;;;
Languedoc;coteaux de l'Aude (Corbières);fitou;Rouge;;;;
Languedoc;coteaux de l'Aude (Limouxin);crémant de Limoux;;Blanc;;;
Languedoc;coteaux de l'Aude (Razès);malepère;Rouge;;Rosé;;
Languedoc;coteaux du Languedoc;clairette du Languedoc;;Blanc;;;Doux naturel
Languedoc;coteaux du Languedoc;faugères;Rouge;Blanc;Rosé;;
Languedoc;Minervois;muscat de Saint-Jean-de-Minervois;;Blanc;;;Doux naturel
Languedoc;Petit Causse;minervois-la-livinière;Rouge;;;;
Languedoc;plaine du Languedoc;muscat de Frontignan ou vin de Frontignan;;Blanc;;;Liquoreux et doux naturel
Languedoc;plaine du Languedoc;muscat de Mireval;;Blanc;;;Liquoreux et doux naturel
Languedoc;;languedoc;Rouge;Blanc;Rosé;;
Languedoc;;muscat de Lunel;;Blanc;;;Doux naturel
Languedoc;;saint-chinian;Rouge;Blanc;Rosé;;
Languedoc-Roussillon;Roussillon;banyuls;;;Rosé;;Doux naturel
Languedoc-Roussillon;Roussillon;banyuls grand cru;Rouge;;;;
Lorraine;Côtes de Meuse;côtes-de-toul;Rouge;Blanc;;Gris;
Lorraine;Pays messin, val de Seille et val de Sierck;moselle[1];Rouge;Blanc;Rosé;;
Provence;moyenne vallée de la Durance;pierrevert;Rouge;Blanc;Rosé;;
Provence;;bandol;Rouge;Blanc;Rosé;;
Provence;;bellet ou vin de Bellet;Rouge;Blanc;Rosé;;
Provence;;cassis;Rouge;Blanc;Rosé;;
Provence;;coteaux-d'aix-en-provence;Rouge;Blanc;Rosé;;
Provence;;coteaux-varois-en-provence;;Blanc;;;Liquoreux, moelleux
Provence;;côtes-de-provence;Rouge;Blanc;Rosé;;
Provence;;les-baux-de-provence;Rouge;;Rosé;;
Provence;;palette;Rouge;Blanc;Rosé;;
Roussillon;Côte Vermeille;collioure;Rouge;Blanc;Rosé;;
Roussillon;Fenouillèdes;maury;Rouge;Blanc;;;Doux naturel
Roussillon;Roussillon (Fenouillèdes, plaine du Roussillon, Bas-Conflent, Aspres et Ribéral);muscat de Rivesaltes;;Blanc;;;Doux naturel
Roussillon;Roussillon (Fenouillèdes, plaine du Roussillon, Bas-Conflent, Aspres et Ribéral);rivesaltes;Rouge;Blanc;;;Doux naturel
Roussillon;;côtes-du-roussillon;Rouge;Blanc;Rosé;;
Roussillon;;Côtes-du-roussillon villages;Rouge;;;;
Savoie;;roussette de Savoie;;Blanc;;;
Savoie;;vin de Savoie ou savoie;Rouge;Blanc;Rosé;;
Savoie et Bugey;;seyssel;;Blanc;;;
Sud-Ouest;Bergeracois;bergerac;Rouge;Blanc;Rosé;;
Sud-Ouest;Bergeracois;côtes-de-bergerac;Rouge;Blanc;;;
Sud-Ouest;Bergeracois;côtes-de-montravel;;Blanc;;;Moelleux
Sud-Ouest;Bergeracois;haut-montravel;;Blanc;;;Moelleux
Sud-Ouest;Bergeracois;monbazillac;;Blanc;;;Liquoreux
Sud-Ouest;Bergeracois;montravel;Rouge;Blanc;;;
Sud-Ouest;Bergeracois;pécharmant;Rouge;;;;
Sud-Ouest;Bergeracois;rosette;;Blanc;;;Moelleux
Sud-Ouest;Bergeracois;saussignac;;Blanc;;;Liquoreux
Sud-Ouest;Massif central méridional;marcillac;Rouge;;Rosé;;
Sud-Ouest;moyenne Garonne;buzet;Rouge;Blanc;Rosé;;
Sud-Ouest;moyenne Garonne;côtes-de-duras;Rouge;Blanc;Rosé;;
Sud-Ouest;moyenne Garonne;côtes-du-marmandais;Rouge;Blanc;Rosé;;
Sud-Ouest;moyenne Garonne;fronton;Rouge;;Rosé;;
Sud-Ouest;Pays basque;irouléguy;Rouge;Blanc;Rosé;;
Sud-Ouest;piémont du Massif central;gaillac;Rouge;Blanc;Rosé;;Moelleux
Sud-Ouest;piémont du Massif central;gaillac-premières-côtes;;Blanc;;;
Sud-Ouest;piémont du Massif central (Quercy);cahors;Rouge;;;;
Sud-Ouest;Piémont pyrénéen;béarn;Rouge;Blanc;Rosé;;
Sud-Ouest;Piémont pyrénéen;jurançon;;Blanc;;;Moelleux
Sud-Ouest;Piémont pyrénéen (Armagnac);madiran;Rouge;;;;
Sud-Ouest;Piémont pyrénéen (Armagnac);pacherenc-du-vic-bilh;;Blanc;;;Liquoreux, moelleux
vallée de la Loire;Anjou;anjou;Rouge;Blanc;Rosé;;
vallée de la Loire;Anjou;anjou villages;Rouge;;;;
vallée de la Loire;Anjou;anjou villages brissac;Rouge;;;;
vallée de la Loire;Anjou;anjou-coteaux-de-la-loire;;Blanc;;;
vallée de la Loire;Anjou;bonnezeaux;;Blanc;;;Liquoreux
vallée de la Loire;Anjou;coteaux-de-l'aubance;;Blanc;;;Moelleux
vallée de la Loire;Anjou;coteaux-du-layon;;Blanc;;;Liquoreux, moelleux
vallée de la Loire;Anjou;quarts-de-chaume;;Blanc;;;Liquoreux
vallée de la Loire;Anjou;rosé d'Anjou;;;Rosé;;
vallée de la Loire;Anjou;saumur;Rouge;Blanc;Rosé;Rouge et rosé mousseux;
vallée de la Loire;Anjou;saumur-champigny;Rouge;;;;
vallée de la Loire;Anjou;savennières;;Blanc;;;Sec, moelleux
vallée de la Loire;Anjou (Saumurois);coteaux-de-saumur;;Blanc;;;Moelleux
vallée de la Loire;Anjou, Touraine;crémant de Loire;;Blanc;Rosé;;
vallée de la Loire;Anjou, Touraine;rosé de Loire;;;Rosé;;
vallée de la Loire;Berry;menetou-salon;Rouge;Blanc;Rosé;;
vallée de la Loire;Berry;quincy;;Blanc;;;
vallée de la Loire;Berry;sancerre;Rouge;Blanc;Rosé;;
vallée de la Loire;Bourbonnais;saint-pourçain;Rouge;Blanc;Rosé;;
vallée de la Loire;Centre;coteaux-du-giennois;Rouge;Blanc;Rosé;;
Vallée de la loire;Côtes d'auvergne;Boudes;Rouge;;;;
vallée de la Loire;côtes d'Auvergne;Chanturgue;Rouge;;;;
vallée de la Loire;côtes d'Auvergne;Châteaugay;Rouge;;Rosé;;
vallée de la Loire;côtes d'Auvergne;Corent;;;Rosé;;
vallée de la Loire;côtes d'Auvergne;madargue;Rouge;Blanc;Rosé;;
vallée de la Loire;Forez;côtes-du-forez;Rouge;;Rosé;;
vallée de la Loire;Nivernais;pouilly-fumé ou blanc-fumé de Pouilly;;Blanc;;;
vallée de la Loire;Nivernais;pouilly-sur-loire;;Blanc;;;
vallée de la Loire;Orléanais;orléans;Rouge;Blanc;Rosé;;
vallée de la Loire;Orléanais;orléans-cléry;Rouge;;;;
vallée de la Loire;Poitou;haut-poitou;Rouge;Blanc;Rosé;;
vallée de la Loire;Roannais;côte-roannaise;Rouge;;Rosé;;
vallée de la Loire;Touraine;bourgueil;Rouge;;Rosé;;
vallée de la Loire;Touraine;cheverny;Rouge;Blanc;Rosé;;
vallée de la Loire;Touraine;chinon;Rouge;Blanc;Rosé;;
vallée de la Loire;Touraine;cour-cheverny;;Blanc;;;
vallée de la Loire;Touraine;jasnières;;Blanc;;;
vallée de la Loire;Touraine;montlouis-sur-loire;;Blanc;;;
vallée de la Loire;Touraine;saint-nicolas-de-bourgueil;Rouge;;Rosé;;
vallée de la Loire;Touraine;touraine;Rouge;Blanc;Rosé;;
vallée de la Loire;Touraine;touraine-noble-joué;;;Rosé;;
vallée de la Loire;Touraine;vouvray;;Blanc;;;
vallée de la Loire;Vignoble nantais;muscadet;;Blanc;;;
vallée de la Loire;Vignoble nantais;muscadet-coteaux-de-la-loire;;Blanc;;;
vallée de la Loire;Vignoble nantais;muscadet-côtes-de-grandlieu;;Blanc;;;
vallée de la Loire;Vignoble nantais;muscadet-sèvre-et-maine;;Blanc;;;
vallée de la Loire;;cabernet d'Anjou;;;Rosé;;
vallée de la Loire;;cabernet de Saumur;Rouge;;;;
vallée de la Loire;;châteaumeillant;Rouge;;;Gris;
vallée de la Loire;;coteaux-du-loir;Rouge;Blanc;Rosé;;
vallée de la Loire;;coteaux-du-vendômois;Rouge;Blanc;;Gris;
vallée de la Loire;;fiefs-vendéens;Rouge;Blanc;Rosé;;
vallée de la Loire;;reuilly;Rouge;Blanc;Rosé;;
vallée de la Loire;;valençay;Rouge;Blanc;Rosé;;
vallée du Rhône;Diois (vallée de la Drôme);châtillon-en-diois;Rouge;Blanc;Rosé;;
vallée du Rhône;Diois (vallée de la Drôme);clairette de Die;;Blanc;;;
vallée du Rhône;Diois (vallée de la Drôme);coteaux-de-die;;Blanc;;;
vallée du Rhône;Diois (vallée de la Drôme);crémant de Die;;Blanc;;;
